Last login: Mon May  6 19:31:25 on ttys002
  572 ??         0:01.18 /usr/libexec/trustd --agent
  573 ??         0:00.16 /usr/libexec/findmydevice-user-agent
  585 ??         0:00.56 /usr/sbin/distnoted agent
  591 ??         0:24.93 /System/Library/CoreServices/Siri.app/Contents/XPCServ
  607 ??         0:01.72 /System/Library/Frameworks/ApplicationServices.framewo
  632 ??         0:00.10 /usr/libexec/mobileactivationd
  633 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCS
  634 ??         0:05.40 /System/Library/PrivateFrameworks/AssistantServices.fr
  636 ??         0:00.59 /System/Library/Frameworks/iTunesLibrary.framework/Ver
  639 ??         0:00.26 /usr/libexec/siriknowledged
  640 ??         0:01.30 /System/Library/PrivateFrameworks/FMClient.framework/V
  649 ??         0:00.19 /System/Library/CoreServices/EscrowSecurityAlert.app/C
  650 ??         0:03.51 /System/Library/PrivateFrameworks/CloudServices.framew
  656 ??         0:34.45 /System/Library/CoreServices/SafariSupport.bundle/Cont
  674 ??         0:00.07 /System/Library/PrivateFrameworks/CoreCDP.framework/Ve
  676 ??         0:41.38 /System/Library/PrivateFrameworks/CoreSuggestions.fram
  677 ??         0:05.29 /System/Library/PrivateFrameworks/AppStoreDaemon.frame
  683 ??         0:00.39 /System/Library/PrivateFrameworks/IMDPersistence.frame
  700 ??         0:18.31 /System/Library/Frameworks/ApplicationServices.framewo
  701 ??         0:06.11 /System/Library/Services/AppleSpell.service/Contents/M
  702 ??         0:02.37 /usr/libexec/keyboardservicesd
  712 ??         0:15.22 /System/Library/Frameworks/ApplicationServices.framewo
  719 ??         0:16.34 /System/Library/Frameworks/CoreServices.framework/Fram
  720 ??         0:04.90 /System/Library/PrivateFrameworks/CommerceKit.framewor
  755 ??         0:00.83 /System/Library/Frameworks/CoreServices.framework/Fram
  803 ??         0:03.95 /System/Library/Frameworks/ColorSync.framework/Support
  924 ??         0:00.11 /System/Library/Frameworks/Metal.framework/Versions/A/
  933 ??         0:05.28 /System/Library/Frameworks/Quartz.framework/Versions/A
  934 ??         0:00.07 /System/Library/Frameworks/Metal.framework/Versions/A/
  950 ??         0:00.34 /System/Library/PrivateFrameworks/BookKit.framework/Ve
  952 ??         0:00.09 /System/Library/PrivateFrameworks/CoreFP.framework/Ver
  992 ??         0:00.09 /System/Library/PrivateFrameworks/KerberosHelper/Helpe
 1010 ??         0:00.35 /System/Library/Frameworks/MediaAccessibility.framewor
 1013 ??         1:22.12 /System/Library/PrivateFrameworks/SafariShared.framewo
 1019 ??         0:00.16 /usr/libexec/SafariNotificationAgent
 1021 ??         0:02.32 /System/Library/PrivateFrameworks/SafariSafeBrowsing.f
 1022 ??         0:16.72 /usr/libexec/SafariCloudHistoryPushAgent
 1024 ??         0:04.19 /usr/libexec/dprivacyd
 1053 ??         0:00.19 /Library/PrivilegedHelperTools/com.macpaw.CleanMyMac4.
 1150 ??         0:20.34 /usr/sbin/syslogd
 1155 ??         0:01.56 aslmanager
 1182 ??         2:10.90 /System/Library/PrivateFrameworks/CloudKitDaemon.frame
